"Energy with dietary fibre, equated 
(kJ)","Protein 
(g)","Ash 
(g)","Total dietary fibre 
(g)","Alcohol 
(g)",Total sugars (g),"Starch 
(g)","Available carbohydrate, without sugar alcohols 
(g)","Calcium (Ca) 
(mg)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Magnesium (Mg) 
(mg)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Selenium (Se) 
(ug)","Zinc (Zn) 
(mg)","Retinol (preformed vitamin A) 
(ug)","Beta-carotene 
(ug)","Thiamin (B1) 
(mg)","Niacin (B3) 
(mg)","Pyridoxine (B6) 
(mg)","Cobalamin (B12) 
(ug)","Folate, natural 
(ug)","Total folates 
(ug)","Vitamin C 
(mg)","Cholecalciferol (D3) 
(ug)","Ergocalciferol (D2) 
(ug)","25-hydroxy cholecalciferol (25-OH D3) 
(ug)","Vitamin D3 equivalents 
(ug)","Alpha tocopherol 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated 
(g)",C18:2w6 (g),C18:3w3 (g),C20:5w3 (mg),"Total trans fatty acids, imputed 
(mg)","Caffeine 
(mg)","Cholesterol 
(mg)"
1236,10.8,5.8,28.0,0.0,4.4,30.0,34.4,383,0.0,13.97,229,178,1119,11.7,7.47,0,22,0.198,1.1,0.23,0.0,3,3,21,0.0,0,0.0,0.0,2.8,2.85,2.2,1.0,0.39,0.0,0.0,0,0
1280,13.4,11.8,34.8,0.0,7.2,7.7,14.9,330,2.3,17.3,149,300,1950,20.4,4.3,0,15000,0.25,11.6,2.09,0.0,28,28,1,0.0,0,0.0,0.0,38.1,38.14,2.06,6.24,0.44,0.0,0.0,0,0
1004,4.0,3.6,53.1,0.0,2.2,25.3,27.5,1002,0.1,8.32,60,64,431,3.1,1.83,0,112,0.022,1.33,0.16,0.0,6,6,4,0.0,0,0.0,0.0,2.3,2.32,0.62,0.08,0.02,0.0,0.0,0,0
1389,6.0,5.6,33.9,0.0,2.4,29.2,31.6,632,50.7,11.83,259,104,1020,7.2,2.32,0,45,0.216,1.56,0.39,0.0,25,25,0,0.0,0,0.0,0.0,8.8,8.82,5.49,3.69,0.81,11.06,0.0,0,0
1344,12.4,6.0,41.9,0.0,2.4,6.1,8.4,709,2.3,16.32,330,409,1267,26.2,4.7,0,122,0.239,2.13,0.04,0.0,0,0,21,0.0,0,0.0,0.0,0.9,0.91,1.03,1.82,0.0,0.0,0.0,0,0
1782,17.8,7.6,10.5,0.0,2.2,31.5,33.7,931,13.6,66.36,366,499,1788,5.2,4.8,0,762,0.628,4.58,0.44,0.0,10,10,8,0.0,0,0.0,0.0,3.3,3.33,1.73,3.5,0.2,0.0,0.0,0,0
1231,14.3,7.1,53.2,0.0,2.8,0.0,2.8,525,0.0,19.1,255,367,1170,40.3,4.7,0,11,0.176,3.26,0.1,0.0,56,56,1,0.0,0,0.0,0.0,25.2,25.24,1.64,2.77,0.25,0.0,0.0,0,0
1080,23.0,3.4,47.6,0.0,0.6,3.7,4.2,176,2.3,33.53,191,296,770,6.3,2.5,0,142,0.322,1.64,0.6,0.0,57,57,3,0.0,0,0.0,0.0,0.0,0.02,1.03,2.75,1.45,0.0,0.0,0,0
1397,9.0,5.2,14.1,0.0,3.4,54.1,57.5,114,12.4,19.8,214,168,1320,55.8,3.64,0,18,0.046,9.62,0.63,0.0,13,13,1,0.0,0,0.0,0.0,0.0,0.0,2.2,0.6,0.19,0.0,0.0,0,0
2289,29.4,3.4,5.0,0.0,5.0,12.2,17.2,160,0.0,7.0,310,730,650,160.0,4.9,0,35,1.3,6.5,0.4,0.0,162,162,7,0.0,0,0.0,0.0,5.1,5.07,2.0,7.32,4.57,0.0,0.0,0,0
